"id","dishSoapNoPrice","dishSoapWithPrice","coffeeNoPrice","coffeeWithPrice","handSoapNoPrice","handSoapWithPrice","toiletPaperNoPrice","toiletPaperWithPrice","laundryNoPrice","laundryWithPrice","cleaningSprayNoPrice","cleaningSprayWithPrice","juiceNoPrice","juiceWithPrice","riceNoPrice","riceWithPrice","toothpasteNoPrice","toothpasteWithPrice","willingToPayPremium","howMuchPremium","dishSoapPriceDifference","coffeePriceDifference","handSoapPriceDifference","toiletPaperPriceDifference","laundryPriceDifference","cleaningSprayPriceDifference","juicePriceDifference","ricePriceDifference","toothpastePriceDifference"
"2sfjsfzesi7dk8p8ixsb2sfy49awmmgz",2.63,0.61,4.64,4.64,6.3,0.77,0.66,0.66,3.25,3.25,2.32,2.32,3.23,2.23,2,2,3.09,0.66,0,"10p-50p",2.02,0,5.53,0,0,0,1,0,2.43
"843agihm10chyf53tauwj6843agifdei",2.63,2.63,8.51,6.96,2.71,2.71,0.66,0.66,9.31,3.25,3.85,2.32,3.23,2.77,3.85,2,3.09,3.09,1,"£1-£2",0,1.55,0,0,6.06,1.53,0.46,1.85,0
"t6vhsou9bjzw0e6txl4mt6vhskaso1u1",2.09,2.09,4.64,4.64,0.77,0.77,0.81,0.64,3.25,3.25,2.24,2.24,2.77,2.77,2,2,3.09,0.66,0,"I would not be willing to pay extra",0,0,0,0.17,0,0,0,0,2.43
"9gyaxcw5oaz7b9fztvn339gyaxcqi9gw",2.63,0.61,8.51,6.96,0.77,0.77,0.66,0.66,10.09,3.25,2.32,2.32,3.23,2.23,2.54,2.54,5.41,3.09,1,"50p-£1",2.02,1.55,0,0,6.84,0,1,0,2.32
"klf4r04yzya6mznjklfofjy97m9pwa2t",2.63,2.09,7.89,7.89,6.3,0.77,0.81,0.81,3.25,3.25,2.32,2.32,2.23,2.23,4.31,4.31,0.66,3.09,1,"50p-£1",0.54,0,5.53,0,0,0,0,0,-2.43
"wvn3kdmkdpec7cqbvfefqwvn3kdgqh42",2.63,2.09,6.96,6.96,0.77,0.77,0.66,0.66,3.25,3.25,2.24,2.24,2.77,2.77,2.54,2,3.09,3.09,1,"50p-£1",0.54,0,0,0,0,0,0,0.54,0
"m9wmntxhc0onz4l05vqx6xm9wmnt7twv",2.63,0.61,8.51,4.64,2.71,0.77,0.66,0.66,3.25,3.25,3.85,2.32,3.23,2.23,3.85,2,5.41,0.66,1,"£1-£2",2.02,3.87,1.94,0,0,1.53,1,1.85,4.75
"5ujio121qdorcy0jxe05uji9msxbybow",2.63,2.09,7.89,4.64,0.77,0.77,0.81,0.64,10.09,3.25,2.24,2.24,2.77,2.77,2,2,3.09,0.66,1,"£1-£2",0.54,3.25,0,0.17,6.84,0,0,0,2.43
"u4lobefsda1emm12736i0u4lobzlxws4",2.63,0.61,8.51,6.96,0.77,0.77,0.81,0.64,9.31,3.25,3.85,2.32,2.77,2.77,2.54,2,3.09,0.66,1,"50p-£1",2.02,1.55,0,0.17,6.06,1.53,0,0.54,2.43
"zkxxf6ltqczjmcdlz4zkxxfbqwkr149b",2.09,2.09,8.51,6.96,6.3,0.77,0.66,0.66,10.09,3.25,3.1,2.24,2.77,2.77,2.54,2,0.66,3.09,1,"50p-£1",0,1.55,5.53,0,6.84,0.86,0,0.54,-2.43
"5wne1ypeltm7vjnoh55wnezwrpxw719p",2.63,2.63,8.51,6.96,0.77,0.77,0.81,0.66,9.31,9.31,2.24,2.24,2.77,2.77,2.54,2.54,3.09,3.09,0,"50p-£1",0,1.55,0,0.15,0,0,0,0,0
"1orxb9tvkp5e73wuvwe1orxb9tgfl1vm",2.63,0.61,7.89,7.89,0.77,0.77,0.81,0.81,3.25,3.25,3.1,3.1,2.77,2.77,3.85,3.85,3.09,3.09,0,"I would not be willing to pay extra",2.02,0,0,0,0,0,0,0,0
"n20qdtofasraiqoi24i6ucqfn20qdtoo",2.09,2.09,8.51,6.96,0.77,0.77,0.66,0.66,3.25,3.25,3.85,3.85,2.77,2.77,3.85,2,3.09,3.09,1,"£1-£2",0,1.55,0,0,0,0,0,1.85,0
"9414off2jsf2mix039414gbbok8qq3q0",2.63,2.09,8.51,6.96,0.77,0.77,0.81,0.81,9.31,9.31,2.24,2.24,3.23,3.23,2.54,2.54,3.09,3.09,0,"50p-£1",0.54,1.55,0,0,0,0,0,0,0
"ytm1fz5r54dup8vgytm1fdjm4rfdky0b",2.63,0.61,8.51,6.96,0.77,0.77,0.81,0.81,10.09,10.09,3.1,2.24,2.23,2.23,2,2,0.66,0.66,1,"10p-50p",2.02,1.55,0,0,0,0.86,0,0,0
"l078lmxd4jzjhz6k69k8l078lmx2fljg",2.63,0.61,8.51,4.64,6.3,0.77,0.81,0.64,9.31,3.25,3.1,2.24,3.23,2.23,3.85,2,0.66,0.66,0,"I would not be willing to pay extra",2.02,3.87,5.53,0.17,6.06,0.86,1,1.85,0
"a21wpajg9fzf9dfa21cm8d440gmrte7e",2.63,0.61,8.51,4.64,2.71,0.77,0.81,0.81,9.31,3.25,2.24,2.24,2.77,2.23,2.54,2,5.41,0.66,1,"50p-£1",2.02,3.87,1.94,0,6.06,0,0.54,0.54,4.75
"0u01kgz7rct26kczwo45220u01kucd8f",2.63,2.09,7.89,4.64,6.3,0.77,0.81,0.66,3.25,3.25,2.24,2.24,2.77,2.23,4.31,2,3.09,3.09,1,"50p-£1",0.54,3.25,5.53,0.15,0,0,0.54,2.31,0
"f03yqfovl3z1s7b5qqxf03yql62gcwg1",2.63,0.61,8.51,4.64,0.77,0.77,0.66,0.64,9.31,3.25,2.32,2.24,4.62,2.23,2,2,3.09,0.66,0,"50p-£1",2.02,3.87,0,0.02,6.06,0.0799999999999996,2.39,0,2.43
"4caeqcslg2ttctsob94caeghrhf04h9z",2.63,0.61,6.96,4.64,2.71,0.77,0.81,0.64,10.09,3.25,2.32,2.32,3.23,2.23,3.85,2,3.09,0.66,0,"10p-50p",2.02,2.32,1.94,0.17,6.84,0,1,1.85,2.43
"ruxlrinedbn8jspz4struxlri8d3iixm",2.09,2.09,8.51,6.96,6.3,2.71,0.81,0.64,9.31,3.25,2.24,2.24,2.77,2.77,3.85,3.85,3.09,3.09,1,"£1-£2",0,1.55,3.59,0.17,6.06,0,0,0,0
"xs5wj95l3w6fdwy9xs5wjifvbl2peebm",2.09,2.09,7.89,4.64,6.3,0.77,0.64,0.64,10.09,10.09,2.24,2.24,2.23,2.23,2,2,3.09,3.09,1,"50p-£1",0,3.25,5.53,0,0,0,0,0,0
"sxjd41xnp3qugdnezy7fkysxjd41xazc",2.63,2.63,8.51,4.64,2.71,2.71,0.66,0.66,9.31,9.31,3.85,3.85,3.23,3.23,3.85,3.85,3.09,3.09,1,"£1-£2",0,3.87,0,0,0,0,0,0,0
"q2qxm0h9ksjdf6ejif7q2qxm0cm3qghc",2.09,0.61,6.96,6.96,0.77,0.77,0.64,0.64,9.31,3.25,3.85,2.24,4.62,2.23,2,2,0.66,0.66,0,"10p-50p",1.48,0,0,0,6.06,1.61,2.39,0,0
"zcxhx9ot34nk49lehjm82zcxqf57h9dz",2.63,0.61,6.96,4.64,6.3,0.77,0.66,0.64,9.31,3.25,3.1,2.32,2.77,2.23,2.54,2,3.09,0.66,0,"50p-£1",2.02,2.32,5.53,0.02,6.06,0.78,0.54,0.54,2.43
